,barrio,ciudad_vivienda,departamento,metros,numero_habitaciones,pauta_destacada,pauta_oportunidad,precio,tipo_vivienda,url
2415,san alonso,bucaramanga,santander,"74,00",3,1,0,885000.0,apartamento,"https://www.fincaraiz.com.co/Vivienda/arriendo/?ad=30|78||||2||8,9,22,10,24,2||||||||||||||||||||1|||1||griddate%20desc||||||/apartamento-en-arriendo/bucaramanga/san_alonso-det-5009204.aspx"
2416,ciudad berna,bogotá,cundinamarca,"50,00",2,1,0,1200000.0,apartamento,"https://www.fincaraiz.com.co/Vivienda/arriendo/?ad=30|78||||2||8,9,22,10,24,2||||||||||||||||||||1|||1||griddate%20desc||||||/apartamento-en-arriendo/bogota/ciudad_berna-det-5065611.aspx"
2417,avenida centenario,armenia,quindío,"57,00",2,1,0,900000.0,apartamento,"https://www.fincaraiz.com.co/Vivienda/arriendo/?ad=30|78||||2||8,9,22,10,24,2||||||||||||||||||||1|||1||griddate%20desc||||||/apartamento-en-arriendo/armenia/avenida_centenario-det-5008150.aspx"
2418,sanfernando,cali,valle del cauca,"30,00",1,0,0,580000.0,apartaestudio,"https://www.fincaraiz.com.co/Vivienda/arriendo/?ad=30|78||||2||8,9,22,10,24,2||||||||||||||||||||1|||1||griddate%20desc||||||/apartaestudio-en-arriendo/cali/sanfernando-det-5065602.aspx"
2419,cedro golf,bogotá,cundinamarca,"16,00",1,0,0,570000.0,habitacion,"https://www.fincaraiz.com.co/Vivienda/arriendo/?ad=30|78||||2||8,9,22,10,24,2||||||||||||||||||||1|||1||griddate%20desc||||||/habitacion-en-arriendo/bogota/cedro_golf-det-5065587.aspx"
2420,loma benedictinos,envigado,antioquia,"120,00",3,1,1,2900000.0,apartamento,"https://www.fincaraiz.com.co/Vivienda/arriendo/?ad=30|78||||2||8,9,22,10,24,2||||||||||||||||||||1|||1||griddate%20desc||||||/apartamento-en-arriendo/envigado/loma_benedictinos-det-4923367.aspx"
2421,funza,funza,cundinamarca,"100,00",4,1,0,772200.0,casa,"https://www.fincaraiz.com.co/Vivienda/arriendo/?ad=30|78||||2||8,9,22,10,24,2||||||||||||||||||||1|||1||griddate%20desc||||||/casa-en-arriendo/funza/funza-det-5012592.aspx"
2422,teusaquillo,bogotá,cundinamarca,"45,00",1,1,0,1500000.0,apartamento,"https://www.fincaraiz.com.co/Vivienda/arriendo/?ad=30|78||||2||8,9,22,10,24,2||||||||||||||||||||1|||1||griddate%20desc||||||/apartamento-en-arriendo/bogota/teusaquillo-det-4936896.aspx"
2423,ponderosa,bogotá,cundinamarca,"35,00",1,1,0,630000.0,apartamento,"https://www.fincaraiz.com.co/Vivienda/arriendo/?ad=30|78||||2||8,9,22,10,24,2||||||||||||||||||||1|||1||griddate%20desc||||||/apartamento-en-arriendo/bogota/ponderosa-det-4963066.aspx"
2424,bella suiza,bogotá,cundinamarca,"182,00",3,1,0,9000000.0,apartamento,"https://www.fincaraiz.com.co/Vivienda/arriendo/?ad=30|78||||2||8,9,22,10,24,2||||||||||||||||||||1|||1||griddate%20desc||||||/apartamento-en-arriendo/bogota/bella_suiza-det-4759660.aspx"
2425,buenos aires,medellín,antioquia,"42,00",2,1,0,750000.0,apartamento,"https://www.fincaraiz.com.co/Vivienda/arriendo/?ad=30|78||||2||8,9,22,10,24,2||||||||||||||||||||1|||1||griddate%20desc||||||/apartamento-en-arriendo/medellin/buenos_aires-det-5068838.aspx"
2426,la tablaza,la estrella,antioquia,"500,00",5,1,0,5800000.0,casa,"https://www.fincaraiz.com.co/Vivienda/arriendo/?ad=30|78||||2||8,9,22,10,24,2||||||||||||||||||||1|||1||griddate%20desc||||||/casa-en-arriendo/la-estrella/tablaza-det-5064326.aspx"
2427,junin,cali,valle del cauca,"70,00",3,0,0,600000.0,apartamento,"https://www.fincaraiz.com.co/Vivienda/arriendo/?ad=30|78||||2||8,9,22,10,24,2||||||||||||||||||||1|||1||griddate%20desc||||||/apartamento-en-arriendo/cali/junin-det-5065545.aspx"
2428,suba la campiña,bogotá,cundinamarca,"48,00",3,0,0,850000.0,apartamento,"https://www.fincaraiz.com.co/Vivienda/arriendo/?ad=30|78||||2||8,9,22,10,24,2||||||||||||||||||||1|||1||griddate%20desc||||||/apartamento-en-arriendo/bogota/suba_campina-det-5065538.aspx"
2429,belén,medellín,antioquia,"95,00",3,1,0,1600000.0,apartamento,"https://www.fincaraiz.com.co/Vivienda/arriendo/?ad=30|78||||2||8,9,22,10,24,2||||||||||||||||||||1|||1||griddate%20desc||||||/apartamento-en-arriendo/medellin/belen-det-5064926.aspx"
